year,nome,month,Number of Fires,date
2004,ACRE,August,645,2004-01-01
2005,ACRE,August,4.198,2005-01-01
2006,ACRE,August,839,2006-01-01
2007,ACRE,August,960,2007-01-01
2008,ACRE,August,445,2008-01-01
2009,ACRE,August,194,2009-01-01
2010,ACRE,August,1.682,2010-01-01
2011,ACRE,August,425,2011-01-01
2012,ACRE,August,739,2012-01-01
2013,ACRE,August,679,2013-01-01
2014,ACRE,August,1.1,2014-01-01
2015,ACRE,August,1.397,2015-01-01
2016,ACRE,August,2.188,2016-01-01
2017,ACRE,August,1.493,2017-01-01
1998,ACRE,September,509,1998-01-01
1999,ACRE,September,209,1999-01-01
2000,ACRE,September,265,2000-01-01
2001,ACRE,September,290,2001-01-01
2002,ACRE,September,1.949,2002-01-01
2003,ACRE,September,3.942,2003-01-01
2004,ACRE,September,1.978,2004-01-01
2005,ACRE,September,4.253,2005-01-01
2006,ACRE,September,2.37,2006-01-01
2007,ACRE,September,2.08,2007-01-01
2008,ACRE,September,1.666,2008-01-01
2009,ACRE,September,1.265,2009-01-01
2010,ACRE,September,2.531,2010-01-01
2011,ACRE,September,1.204,2011-01-01
2012,ACRE,September,1.996,2012-01-01
2013,ACRE,September,2.136,2013-01-01
2014,ACRE,September,2.175,2014-01-01
2015,ACRE,September,2.928,2015-01-01
2016,ACRE,September,3.586,2016-01-01
2017,ACRE,September,3.429,2017-01-01
1998,ACRE,October,44,1998-01-01
1999,ACRE,October,60,1999-01-01
2000,ACRE,October,18,2000-01-01
2001,ACRE,October,137,2001-01-01
2002,ACRE,October,687,2002-01-01
2003,ACRE,October,740,2003-01-01
2004,ACRE,October,461,2004-01-01
2005,ACRE,October,547,2005-01-01
2006,ACRE,October,316,2006-01-01
2007,ACRE,October,203,2007-01-01
2008,ACRE,October,652,2008-01-01
2009,ACRE,October,565,2009-01-01
2010,ACRE,October,292,2010-01-01
2011,ACRE,October,97,2011-01-01
2012,ACRE,October,348,2012-01-01
2013,ACRE,October,258,2013-01-01
2014,ACRE,October,406,2014-01-01
2015,ACRE,October,905,2015-01-01
2016,ACRE,October,509,2016-01-01
2017,ACRE,October,1.508,2017-01-01
1998,ACRE,November,0,1998-01-01
1999,ACRE,November,0,1999-01-01
2000,ACRE,November,0,2000-01-01
2001,ACRE,November,1,2001-01-01
2002,ACRE,November,86,2002-01-01
2003,ACRE,November,15,2003-01-01
2004,ACRE,November,10,2004-01-01
2005,ACRE,November,14,2005-01-01
2006,ACRE,November,18,2006-01-01
2007,ACRE,November,7,2007-01-01
2008,ACRE,November,4,2008-01-01
2009,ACRE,November,33,2009-01-01
2010,ACRE,November,39,2010-01-01
2011,ACRE,November,74,2011-01-01
2012,ACRE,November,13,2012-01-01
2013,ACRE,November,79,2013-01-01
2014,ACRE,November,56,2014-01-01
2015,ACRE,November,115,2015-01-01
2016,ACRE,November,46,2016-01-01
2017,ACRE,November,98,2017-01-01
1998,ACRE,December,7,1998-01-01
1999,ACRE,December,0,1999-01-01
2000,ACRE,December,0,2000-01-01
2001,ACRE,December,0,2001-01-01
2002,ACRE,December,1,2002-01-01
2003,ACRE,December,1,2003-01-01
2004,ACRE,December,7,2004-01-01
2005,ACRE,December,2,2005-01-01
2006,ACRE,December,0,2006-01-01
2007,ACRE,December,0,2007-01-01
2008,ACRE,December,0,2008-01-01
2009,ACRE,December,1,2009-01-01
2010,ACRE,December,0,2010-01-01
2011,ACRE,December,4,2011-01-01
2012,ACRE,December,1,2012-01-01
2013,ACRE,December,3,2013-01-01
2014,ACRE,December,6,2014-01-01
2015,ACRE,December,8,2015-01-01
2016,ACRE,December,6,2016-01-01
1998,ALAGOAS,January,0,1998-01-01
1999,ALAGOAS,January,58,1999-01-01
2000,ALAGOAS,January,11,2000-01-01
2001,ALAGOAS,January,5,2001-01-01
2002,ALAGOAS,January,12,2002-01-01
2003,ALAGOAS,January,150,2003-01-01
2004,ALAGOAS,January,9,2004-01-01
2005,ALAGOAS,January,83,2005-01-01
2006,ALAGOAS,January,29,2006-01-01
2007,ALAGOAS,January,33,2007-01-01
2008,ALAGOAS,January,55,2008-01-01
2009,ALAGOAS,January,104,2009-01-01
2010,ALAGOAS,January,23,2010-01-01
2011,ALAGOAS,January,41,2011-01-01
2012,ALAGOAS,January,36,2012-01-01
2013,ALAGOAS,January,49,2013-01-01
2014,ALAGOAS,January,54,2014-01-01
2015,ALAGOAS,January,81,2015-01-01
2016,ALAGOAS,January,24,2016-01-01
