"","year","state","month","fires","date"
"1726",2002,"ESPÍRITO SANTO",4,2,2002-04-01
"1727",2002,"ESPÍRITO SANTO",5,5,2002-05-01
"1728",2002,"ESPÍRITO SANTO",6,18,2002-06-01
"1729",2002,"ESPÍRITO SANTO",7,9,2002-07-01
"1730",2002,"ESPÍRITO SANTO",8,60,2002-08-01
"1731",2002,"ESPÍRITO SANTO",9,46,2002-09-01
"1732",2002,"ESPÍRITO SANTO",10,113,2002-10-01
"1733",2002,"ESPÍRITO SANTO",11,22,2002-11-01
"1734",2002,"ESPÍRITO SANTO",12,12,2002-12-01
"1735",2003,"ESPÍRITO SANTO",1,4,2003-01-01
"1736",2003,"ESPÍRITO SANTO",2,11,2003-02-01
"1737",2003,"ESPÍRITO SANTO",3,28,2003-03-01
"1738",2003,"ESPÍRITO SANTO",4,22,2003-04-01
"1739",2003,"ESPÍRITO SANTO",5,1,2003-05-01
"1740",2003,"ESPÍRITO SANTO",6,19,2003-06-01
"1741",2003,"ESPÍRITO SANTO",7,27,2003-07-01
"1742",2003,"ESPÍRITO SANTO",8,118,2003-08-01
"1743",2003,"ESPÍRITO SANTO",9,252,2003-09-01
"1744",2003,"ESPÍRITO SANTO",10,159,2003-10-01
"1745",2003,"ESPÍRITO SANTO",11,49,2003-11-01
"1746",2003,"ESPÍRITO SANTO",12,18,2003-12-01
"1747",2004,"ESPÍRITO SANTO",1,1,2004-01-01
"1748",2004,"ESPÍRITO SANTO",2,5,2004-02-01
"1749",2004,"ESPÍRITO SANTO",3,3,2004-03-01
"1750",2004,"ESPÍRITO SANTO",4,0,2004-04-01
"1751",2004,"ESPÍRITO SANTO",5,0,2004-05-01
"1752",2004,"ESPÍRITO SANTO",6,3,2004-06-01
"1753",2004,"ESPÍRITO SANTO",7,4,2004-07-01
"1754",2004,"ESPÍRITO SANTO",8,12,2004-08-01
"1755",2004,"ESPÍRITO SANTO",9,47,2004-09-01
"1756",2004,"ESPÍRITO SANTO",10,48,2004-10-01
"1757",2004,"ESPÍRITO SANTO",11,42,2004-11-01
"1758",2004,"ESPÍRITO SANTO",12,9,2004-12-01
"1759",2005,"ESPÍRITO SANTO",1,4,2005-01-01
"1760",2005,"ESPÍRITO SANTO",2,1,2005-02-01
"1761",2005,"ESPÍRITO SANTO",3,3,2005-03-01
"1762",2005,"ESPÍRITO SANTO",4,4,2005-04-01
"1763",2005,"ESPÍRITO SANTO",5,5,2005-05-01
"1764",2005,"ESPÍRITO SANTO",6,8,2005-06-01
"1765",2005,"ESPÍRITO SANTO",7,9,2005-07-01
"1766",2005,"ESPÍRITO SANTO",8,12,2005-08-01
"1767",2005,"ESPÍRITO SANTO",9,8,2005-09-01
"1768",2005,"ESPÍRITO SANTO",10,62,2005-10-01
"1769",2005,"ESPÍRITO SANTO",11,0,2005-11-01
"1770",2005,"ESPÍRITO SANTO",12,5,2005-12-01
"1771",2006,"ESPÍRITO SANTO",1,13,2006-01-01
"1772",2006,"ESPÍRITO SANTO",2,45,2006-02-01
"1773",2006,"ESPÍRITO SANTO",3,14,2006-03-01
"1774",2006,"ESPÍRITO SANTO",4,1,2006-04-01
"1775",2006,"ESPÍRITO SANTO",5,0,2006-05-01
"1776",2006,"ESPÍRITO SANTO",6,5,2006-06-01
"1777",2006,"ESPÍRITO SANTO",7,11,2006-07-01
"1778",2006,"ESPÍRITO SANTO",8,29,2006-08-01
"1779",2006,"ESPÍRITO SANTO",9,87,2006-09-01
"1780",2006,"ESPÍRITO SANTO",10,10,2006-10-01
"1781",2006,"ESPÍRITO SANTO",11,0,2006-11-01
"1782",2006,"ESPÍRITO SANTO",12,0,2006-12-01
"1783",2007,"ESPÍRITO SANTO",1,0,2007-01-01
"1784",2007,"ESPÍRITO SANTO",2,3,2007-02-01
"1785",2007,"ESPÍRITO SANTO",3,9,2007-03-01
"1786",2007,"ESPÍRITO SANTO",4,2,2007-04-01
"1787",2007,"ESPÍRITO SANTO",5,1,2007-05-01
"1788",2007,"ESPÍRITO SANTO",6,4,2007-06-01
"1789",2007,"ESPÍRITO SANTO",7,13,2007-07-01
"1790",2007,"ESPÍRITO SANTO",8,82,2007-08-01
"1791",2007,"ESPÍRITO SANTO",9,63,2007-09-01
"1792",2007,"ESPÍRITO SANTO",10,79,2007-10-01
"1793",2007,"ESPÍRITO SANTO",11,112,2007-11-01
"1794",2007,"ESPÍRITO SANTO",12,14,2007-12-01
"1795",2008,"ESPÍRITO SANTO",1,12,2008-01-01
"1796",2008,"ESPÍRITO SANTO",2,20,2008-02-01
"1797",2008,"ESPÍRITO SANTO",3,5,2008-03-01
"1798",2008,"ESPÍRITO SANTO",4,8,2008-04-01
"1799",2008,"ESPÍRITO SANTO",5,2,2008-05-01
"1800",2008,"ESPÍRITO SANTO",6,4,2008-06-01
"1801",2008,"ESPÍRITO SANTO",7,5,2008-07-01
"1802",2008,"ESPÍRITO SANTO",8,13,2008-08-01
"1803",2008,"ESPÍRITO SANTO",9,78,2008-09-01
"1804",2008,"ESPÍRITO SANTO",10,100,2008-10-01
"1805",2008,"ESPÍRITO SANTO",11,3,2008-11-01
"1806",2008,"ESPÍRITO SANTO",12,1,2008-12-01
"1807",2009,"ESPÍRITO SANTO",1,4,2009-01-01
"1808",2009,"ESPÍRITO SANTO",2,12,2009-02-01
"1809",2009,"ESPÍRITO SANTO",3,11,2009-03-01
"1810",2009,"ESPÍRITO SANTO",4,8,2009-04-01
"1811",2009,"ESPÍRITO SANTO",5,7,2009-05-01
"1812",2009,"ESPÍRITO SANTO",6,12,2009-06-01
"1813",2009,"ESPÍRITO SANTO",7,25,2009-07-01
"1814",2009,"ESPÍRITO SANTO",8,17,2009-08-01
"1815",2009,"ESPÍRITO SANTO",9,57,2009-09-01
"1816",2009,"ESPÍRITO SANTO",10,13,2009-10-01
"1817",2009,"ESPÍRITO SANTO",11,18,2009-11-01
"1818",2009,"ESPÍRITO SANTO",12,32,2009-12-01
"1819",2010,"ESPÍRITO SANTO",1,52,2010-01-01
"1820",2010,"ESPÍRITO SANTO",2,15,2010-02-01
"1821",2010,"ESPÍRITO SANTO",3,3,2010-03-01
"1822",2010,"ESPÍRITO SANTO",4,7,2010-04-01
"1823",2010,"ESPÍRITO SANTO",5,3,2010-05-01
"1824",2010,"ESPÍRITO SANTO",6,3,2010-06-01
"1825",2010,"ESPÍRITO SANTO",7,5,2010-07-01
"1826",2010,"ESPÍRITO SANTO",8,39,2010-08-01
"1827",2010,"ESPÍRITO SANTO",9,53,2010-09-01
"1828",2010,"ESPÍRITO SANTO",10,32,2010-10-01
"1829",2010,"ESPÍRITO SANTO",11,3,2010-11-01
"1830",2010,"ESPÍRITO SANTO",12,10,2010-12-01
"1831",2011,"ESPÍRITO SANTO",1,3,2011-01-01
"1832",2011,"ESPÍRITO SANTO",2,42,2011-02-01
"1833",2011,"ESPÍRITO SANTO",3,5,2011-03-01
"1834",2011,"ESPÍRITO SANTO",4,3,2011-04-01
"1835",2011,"ESPÍRITO SANTO",5,2,2011-05-01
"1836",2011,"ESPÍRITO SANTO",6,7,2011-06-01
"1837",2011,"ESPÍRITO SANTO",7,18,2011-07-01
"1838",2011,"ESPÍRITO SANTO",8,93,2011-08-01
"1839",2011,"ESPÍRITO SANTO",9,108,2011-09-01
"1840",2011,"ESPÍRITO SANTO",10,38,2011-10-01
"1841",2011,"ESPÍRITO SANTO",11,6,2011-11-01
"1842",2011,"ESPÍRITO SANTO",12,1,2011-12-01
"1843",2012,"ESPÍRITO SANTO",1,1,2012-01-01
"1844",2012,"ESPÍRITO SANTO",2,25,2012-02-01
"1845",2012,"ESPÍRITO SANTO",3,35,2012-03-01
"1846",2012,"ESPÍRITO SANTO",4,74,2012-04-01
"1847",2012,"ESPÍRITO SANTO",5,20,2012-05-01
"1848",2012,"ESPÍRITO SANTO",6,15,2012-06-01
"1849",2012,"ESPÍRITO SANTO",7,35,2012-07-01
"1850",2012,"ESPÍRITO SANTO",8,12,2012-08-01
"1851",2012,"ESPÍRITO SANTO",9,48,2012-09-01
"1852",2012,"ESPÍRITO SANTO",10,62,2012-10-01
"1853",2012,"ESPÍRITO SANTO",11,7,2012-11-01
"1854",2012,"ESPÍRITO SANTO",12,18,2012-12-01
"1855",2013,"ESPÍRITO SANTO",1,10,2013-01-01
"1856",2013,"ESPÍRITO SANTO",2,15,2013-02-01
"1857",2013,"ESPÍRITO SANTO",3,13,2013-03-01
"1858",2013,"ESPÍRITO SANTO",4,16,2013-04-01
"1859",2013,"ESPÍRITO SANTO",5,14,2013-05-01
"1860",2013,"ESPÍRITO SANTO",6,22,2013-06-01
"1861",2013,"ESPÍRITO SANTO",7,20,2013-07-01
"1862",2013,"ESPÍRITO SANTO",8,53,2013-08-01
"1863",2013,"ESPÍRITO SANTO",9,30,2013-09-01
"1864",2013,"ESPÍRITO SANTO",10,37,2013-10-01
"1865",2013,"ESPÍRITO SANTO",11,11,2013-11-01
"1866",2013,"ESPÍRITO SANTO",12,9,2013-12-01
"1867",2014,"ESPÍRITO SANTO",1,11,2014-01-01
"1868",2014,"ESPÍRITO SANTO",2,17,2014-02-01
"1869",2014,"ESPÍRITO SANTO",3,15,2014-03-01
"1870",2014,"ESPÍRITO SANTO",4,15,2014-04-01
"1871",2014,"ESPÍRITO SANTO",5,18,2014-05-01
"1872",2014,"ESPÍRITO SANTO",6,9,2014-06-01
"1873",2014,"ESPÍRITO SANTO",7,17,2014-07-01
"1874",2014,"ESPÍRITO SANTO",8,47,2014-08-01
"1875",2014,"ESPÍRITO SANTO",9,61,2014-09-01
"1876",2014,"ESPÍRITO SANTO",10,89,2014-10-01
"1877",2014,"ESPÍRITO SANTO",11,20,2014-11-01
"1878",2014,"ESPÍRITO SANTO",12,28,2014-12-01
"1879",2015,"ESPÍRITO SANTO",1,76,2015-01-01
"1880",2015,"ESPÍRITO SANTO",2,60,2015-02-01
"1881",2015,"ESPÍRITO SANTO",3,25,2015-03-01
"1882",2015,"ESPÍRITO SANTO",4,33,2015-04-01
"1883",2015,"ESPÍRITO SANTO",5,17,2015-05-01
"1884",2015,"ESPÍRITO SANTO",6,18,2015-06-01
"1885",2015,"ESPÍRITO SANTO",7,30,2015-07-01
"1886",2015,"ESPÍRITO SANTO",8,35,2015-08-01
"1887",2015,"ESPÍRITO SANTO",9,228,2015-09-01
"1888",2015,"ESPÍRITO SANTO",10,307,2015-10-01
"1889",2015,"ESPÍRITO SANTO",11,141,2015-11-01
"1890",2015,"ESPÍRITO SANTO",12,61,2015-12-01
"1891",2016,"ESPÍRITO SANTO",1,43,2016-01-01
"1892",2016,"ESPÍRITO SANTO",2,24,2016-02-01
"1893",2016,"ESPÍRITO SANTO",3,107,2016-03-01
"1894",2016,"ESPÍRITO SANTO",4,57,2016-04-01
"1895",2016,"ESPÍRITO SANTO",5,48,2016-05-01
"1896",2016,"ESPÍRITO SANTO",6,49,2016-06-01
"1897",2016,"ESPÍRITO SANTO",7,42,2016-07-01
"1898",2016,"ESPÍRITO SANTO",8,78,2016-08-01
"1899",2016,"ESPÍRITO SANTO",9,128,2016-09-01
"1900",2016,"ESPÍRITO SANTO",10,58,2016-10-01
"1901",2016,"ESPÍRITO SANTO",11,8,2016-11-01
"1902",2016,"ESPÍRITO SANTO",12,12,2016-12-01
"1903",2017,"ESPÍRITO SANTO",1,13,2017-01-01
"1904",2017,"ESPÍRITO SANTO",2,8,2017-02-01
"1905",2017,"ESPÍRITO SANTO",3,9,2017-03-01
"1906",2017,"ESPÍRITO SANTO",4,7,2017-04-01
"1907",2017,"ESPÍRITO SANTO",5,10,2017-05-01
"1908",2017,"ESPÍRITO SANTO",6,37,2017-06-01
"1909",2017,"ESPÍRITO SANTO",7,3,2017-07-01
"1910",2017,"ESPÍRITO SANTO",8,30,2017-08-01
"1911",2017,"ESPÍRITO SANTO",9,58,2017-09-01
"1912",2017,"ESPÍRITO SANTO",10,56,2017-10-01
"1913",2017,"ESPÍRITO SANTO",11,3,2017-11-01
"1914",1998,"GOIÁS",1,0,1998-01-01
"1915",1998,"GOIÁS",2,0,1998-02-01
"1916",1998,"GOIÁS",3,0,1998-03-01
"1917",1998,"GOIÁS",4,0,1998-04-01
"1918",1998,"GOIÁS",5,0,1998-05-01
"1919",1998,"GOIÁS",6,172,1998-06-01
"1920",1998,"GOIÁS",7,512,1998-07-01
"1921",1998,"GOIÁS",8,2218,1998-08-01
"1922",1998,"GOIÁS",9,2867,1998-09-01
"1923",1998,"GOIÁS",10,1034,1998-10-01
"1924",1998,"GOIÁS",11,47,1998-11-01
"1925",1998,"GOIÁS",12,13,1998-12-01
"1926",1999,"GOIÁS",1,14,1999-01-01
"1927",1999,"GOIÁS",2,334,1999-02-01
"1928",1999,"GOIÁS",3,1,1999-03-01
"1929",1999,"GOIÁS",4,25,1999-04-01
"1930",1999,"GOIÁS",5,99,1999-05-01
"1931",1999,"GOIÁS",6,250,1999-06-01
"1932",1999,"GOIÁS",7,311,1999-07-01
"1933",1999,"GOIÁS",8,1198,1999-08-01
"1934",1999,"GOIÁS",9,1898,1999-09-01
"1935",1999,"GOIÁS",10,743,1999-10-01
"1936",1999,"GOIÁS",11,110,1999-11-01
"1937",1999,"GOIÁS",12,20,1999-12-01
"1938",2000,"GOIÁS",1,10,2000-01-01
"1939",2000,"GOIÁS",2,11,2000-02-01
"1940",2000,"GOIÁS",3,4,2000-03-01
"1941",2000,"GOIÁS",4,16,2000-04-01
"1942",2000,"GOIÁS",5,58,2000-05-01
"1943",2000,"GOIÁS",6,222,2000-06-01
"1944",2000,"GOIÁS",7,332,2000-07-01
"1945",2000,"GOIÁS",8,925,2000-08-01
"1946",2000,"GOIÁS",9,1293,2000-09-01
"1947",2000,"GOIÁS",10,905,2000-10-01
"1948",2000,"GOIÁS",11,26,2000-11-01
"1949",2000,"GOIÁS",12,6,2000-12-01
"1950",2001,"GOIÁS",1,29,2001-01-01
"1951",2001,"GOIÁS",2,9,2001-02-01
"1952",2001,"GOIÁS",3,10,2001-03-01
"1953",2001,"GOIÁS",4,49,2001-04-01
"1954",2001,"GOIÁS",5,85,2001-05-01
"1955",2001,"GOIÁS",6,212,2001-06-01
"1956",2001,"GOIÁS",7,371,2001-07-01
"1957",2001,"GOIÁS",8,787,2001-08-01
"1958",2001,"GOIÁS",9,1863,2001-09-01
"1959",2001,"GOIÁS",10,479,2001-10-01
"1960",2001,"GOIÁS",11,15,2001-11-01
"1961",2001,"GOIÁS",12,18,2001-12-01
"1962",2002,"GOIÁS",1,12,2002-01-01
"1963",2002,"GOIÁS",2,9,2002-02-01
"1964",2002,"GOIÁS",3,48,2002-03-01
"1965",2002,"GOIÁS",4,78,2002-04-01
"1966",2002,"GOIÁS",5,171,2002-05-01
"1967",2002,"GOIÁS",6,302,2002-06-01
"1968",2002,"GOIÁS",7,686,2002-07-01
"1969",2002,"GOIÁS",8,1428,2002-08-01
"1970",2002,"GOIÁS",9,3520,2002-09-01
"1971",2002,"GOIÁS",10,1367,2002-10-01
"1972",2002,"GOIÁS",11,192,2002-11-01
"1973",2002,"GOIÁS",12,115,2002-12-01
"1974",2003,"GOIÁS",1,14,2003-01-01
"1975",2003,"GOIÁS",2,47,2003-02-01
"1976",2003,"GOIÁS",3,29,2003-03-01
"1977",2003,"GOIÁS",4,87,2003-04-01
"1978",2003,"GOIÁS",5,57,2003-05-01
"1979",2003,"GOIÁS",6,321,2003-06-01
"1980",2003,"GOIÁS",7,322,2003-07-01
"1981",2003,"GOIÁS",8,902,2003-08-01
"1982",2003,"GOIÁS",9,1662,2003-09-01
"1983",2003,"GOIÁS",10,1183,2003-10-01
"1984",2003,"GOIÁS",11,168,2003-11-01
"1985",2003,"GOIÁS",12,129,2003-12-01
"1986",2004,"GOIÁS",1,10,2004-01-01
"1987",2004,"GOIÁS",2,11,2004-02-01
"1988",2004,"GOIÁS",3,36,2004-03-01
"1989",2004,"GOIÁS",4,32,2004-04-01
"1990",2004,"GOIÁS",5,157,2004-05-01
"1991",2004,"GOIÁS",6,422,2004-06-01
"1992",2004,"GOIÁS",7,778,2004-07-01
"1993",2004,"GOIÁS",8,1498,2004-08-01
"1994",2004,"GOIÁS",9,2965,2004-09-01
"1995",2004,"GOIÁS",10,1275,2004-10-01
"1996",2004,"GOIÁS",11,291,2004-11-01
"1997",2004,"GOIÁS",12,56,2004-12-01
"1998",2005,"GOIÁS",1,27,2005-01-01
"1999",2005,"GOIÁS",2,84,2005-02-01
"2000",2005,"GOIÁS",3,36,2005-03-01
"2001",2005,"GOIÁS",4,55,2005-04-01
"2002",2005,"GOIÁS",5,164,2005-05-01
"2003",2005,"GOIÁS",6,189,2005-06-01
"2004",2005,"GOIÁS",7,363,2005-07-01
"2005",2005,"GOIÁS",8,639,2005-08-01
"2006",2005,"GOIÁS",9,1341,2005-09-01
"2007",2005,"GOIÁS",10,1717,2005-10-01
"2008",2005,"GOIÁS",11,144,2005-11-01
"2009",2005,"GOIÁS",12,5,2005-12-01
"2010",2006,"GOIÁS",1,85,2006-01-01
"2011",2006,"GOIÁS",2,21,2006-02-01
"2012",2006,"GOIÁS",3,29,2006-03-01
"2013",2006,"GOIÁS",4,22,2006-04-01
"2014",2006,"GOIÁS",5,33,2006-05-01
"2015",2006,"GOIÁS",6,70,2006-06-01
"2016",2006,"GOIÁS",7,169,2006-07-01
"2017",2006,"GOIÁS",8,588,2006-08-01
"2018",2006,"GOIÁS",9,1463,2006-09-01
"2019",2006,"GOIÁS",10,178,2006-10-01
"2020",2006,"GOIÁS",11,91,2006-11-01
"2021",2006,"GOIÁS",12,7,2006-12-01
"2022",2007,"GOIÁS",1,28,2007-01-01
"2023",2007,"GOIÁS",2,13,2007-02-01
"2024",2007,"GOIÁS",3,49,2007-03-01
"2025",2007,"GOIÁS",4,17,2007-04-01
"2026",2007,"GOIÁS",5,94,2007-05-01
"2027",2007,"GOIÁS",6,186,2007-06-01
"2028",2007,"GOIÁS",7,399,2007-07-01
"2029",2007,"GOIÁS",8,2382,2007-08-01
"2030",2007,"GOIÁS",9,3745,2007-09-01
"2031",2007,"GOIÁS",10,1195,2007-10-01
"2032",2007,"GOIÁS",11,79,2007-11-01
"2033",2007,"GOIÁS",12,16,2007-12-01
"2034",2008,"GOIÁS",1,23,2008-01-01
"2035",2008,"GOIÁS",2,25,2008-02-01
"2036",2008,"GOIÁS",3,20,2008-03-01
"2037",2008,"GOIÁS",4,36,2008-04-01
"2038",2008,"GOIÁS",5,41,2008-05-01
"2039",2008,"GOIÁS",6,55,2008-06-01
"2040",2008,"GOIÁS",7,193,2008-07-01
"2041",2008,"GOIÁS",8,568,2008-08-01
"2042",2008,"GOIÁS",9,1255,2008-09-01
"2043",2008,"GOIÁS",10,1231,2008-10-01
"2044",2008,"GOIÁS",11,90,2008-11-01
"2045",2008,"GOIÁS",12,6,2008-12-01
"2046",2009,"GOIÁS",1,30,2009-01-01
"2047",2009,"GOIÁS",2,29,2009-02-01
"2048",2009,"GOIÁS",3,32,2009-03-01
"2049",2009,"GOIÁS",4,11,2009-04-01
"2050",2009,"GOIÁS",5,104,2009-05-01
"2051",2009,"GOIÁS",6,179,2009-06-01
"2052",2009,"GOIÁS",7,470,2009-07-01
"2053",2009,"GOIÁS",8,647,2009-08-01
"2054",2009,"GOIÁS",9,685,2009-09-01
"2055",2009,"GOIÁS",10,367,2009-10-01
"2056",2009,"GOIÁS",11,89,2009-11-01
"2057",2009,"GOIÁS",12,39,2009-12-01
"2058",2010,"GOIÁS",1,59,2010-01-01
"2059",2010,"GOIÁS",2,86,2010-02-01
"2060",2010,"GOIÁS",3,65,2010-03-01
"2061",2010,"GOIÁS",4,105,2010-04-01
"2062",2010,"GOIÁS",5,239,2010-05-01
"2063",2010,"GOIÁS",6,278,2010-06-01
"2064",2010,"GOIÁS",7,941,2010-07-01
"2065",2010,"GOIÁS",8,2914,2010-08-01
"2066",2010,"GOIÁS",9,5075,2010-09-01
"2067",2010,"GOIÁS",10,1227,2010-10-01
"2068",2010,"GOIÁS",11,67,2010-11-01
"2069",2010,"GOIÁS",12,48,2010-12-01
"2070",2011,"GOIÁS",1,39,2011-01-01
"2071",2011,"GOIÁS",2,45,2011-02-01
"2072",2011,"GOIÁS",3,19,2011-03-01
"2073",2011,"GOIÁS",4,71,2011-04-01
"2074",2011,"GOIÁS",5,136,2011-05-01
"2075",2011,"GOIÁS",6,314,2011-06-01
"2076",2011,"GOIÁS",7,607,2011-07-01
"2077",2011,"GOIÁS",8,1613,2011-08-01
"2078",2011,"GOIÁS",9,2259,2011-09-01
"2079",2011,"GOIÁS",10,476,2011-10-01
"2080",2011,"GOIÁS",11,59,2011-11-01
"2081",2011,"GOIÁS",12,39,2011-12-01
"2082",2012,"GOIÁS",1,21,2012-01-01
"2083",2012,"GOIÁS",2,37,2012-02-01
"2084",2012,"GOIÁS",3,57,2012-03-01
"2085",2012,"GOIÁS",4,89,2012-04-01
"2086",2012,"GOIÁS",5,103,2012-05-01
"2087",2012,"GOIÁS",6,245,2012-06-01
"2088",2012,"GOIÁS",7,564,2012-07-01
"2089",2012,"GOIÁS",8,912,2012-08-01
"2090",2012,"GOIÁS",9,2452,2012-09-01
"2091",2012,"GOIÁS",10,1524,2012-10-01
"2092",2012,"GOIÁS",11,57,2012-11-01
"2093",2012,"GOIÁS",12,93,2012-12-01
"2094",2013,"GOIÁS",1,33,2013-01-01
"2095",2013,"GOIÁS",2,86,2013-02-01
"2096",2013,"GOIÁS",3,79,2013-03-01
"2097",2013,"GOIÁS",4,42,2013-04-01
"2098",2013,"GOIÁS",5,150,2013-05-01
"2099",2013,"GOIÁS",6,192,2013-06-01
"2100",2013,"GOIÁS",7,350,2013-07-01
"2101",2013,"GOIÁS",8,488,2013-08-01
"2102",2013,"GOIÁS",9,684,2013-09-01
"2103",2013,"GOIÁS",10,606,2013-10-01
"2104",2013,"GOIÁS",11,183,2013-11-01
"2105",2013,"GOIÁS",12,86,2013-12-01
"2106",2014,"GOIÁS",1,80,2014-01-01
"2107",2014,"GOIÁS",2,44,2014-02-01
"2108",2014,"GOIÁS",3,80,2014-03-01
"2109",2014,"GOIÁS",4,138,2014-04-01
"2110",2014,"GOIÁS",5,210,2014-05-01
"2111",2014,"GOIÁS",6,318,2014-06-01
"2112",2014,"GOIÁS",7,446,2014-07-01
"2113",2014,"GOIÁS",8,1255,2014-08-01
"2114",2014,"GOIÁS",9,1687,2014-09-01
"2115",2014,"GOIÁS",10,1947,2014-10-01
"2116",2014,"GOIÁS",11,181,2014-11-01
"2117",2014,"GOIÁS",12,68,2014-12-01
"2118",2015,"GOIÁS",1,118,2015-01-01
"2119",2015,"GOIÁS",2,53,2015-02-01
"2120",2015,"GOIÁS",3,76,2015-03-01
"2121",2015,"GOIÁS",4,89,2015-04-01
"2122",2015,"GOIÁS",5,129,2015-05-01
"2123",2015,"GOIÁS",6,277,2015-06-01
"2124",2015,"GOIÁS",7,347,2015-07-01
"2125",2015,"GOIÁS",8,943,2015-08-01
"2126",2015,"GOIÁS",9,2296,2015-09-01
"2127",2015,"GOIÁS",10,1807,2015-10-01
"2128",2015,"GOIÁS",11,547,2015-11-01
"2129",2015,"GOIÁS",12,179,2015-12-01
"2130",2016,"GOIÁS",1,52,2016-01-01
"2131",2016,"GOIÁS",2,117,2016-02-01
"2132",2016,"GOIÁS",3,136,2016-03-01
"2133",2016,"GOIÁS",4,167,2016-04-01
"2134",2016,"GOIÁS",5,233,2016-05-01
"2135",2016,"GOIÁS",6,289,2016-06-01
"2136",2016,"GOIÁS",7,837,2016-07-01
"2137",2016,"GOIÁS",8,1032,2016-08-01
"2138",2016,"GOIÁS",9,1703,2016-09-01
"2139",2016,"GOIÁS",10,522,2016-10-01
"2140",2016,"GOIÁS",11,123,2016-11-01
"2141",2016,"GOIÁS",12,64,2016-12-01
"2142",2017,"GOIÁS",1,53,2017-01-01
"2143",2017,"GOIÁS",2,75,2017-02-01
"2144",2017,"GOIÁS",3,115,2017-03-01
"2145",2017,"GOIÁS",4,60,2017-04-01
"2146",2017,"GOIÁS",5,135,2017-05-01
"2147",2017,"GOIÁS",6,442,2017-06-01
"2148",2017,"GOIÁS",7,577,2017-07-01
"2149",2017,"GOIÁS",8,1492,2017-08-01
"2150",2017,"GOIÁS",9,3238,2017-09-01
"2151",2017,"GOIÁS",10,2401,2017-10-01
"2152",2017,"GOIÁS",11,117,2017-11-01
"2153",1998,"MARANHÃO",1,0,1998-01-01
"2154",1998,"MARANHÃO",2,0,1998-02-01
"2155",1998,"MARANHÃO",3,0,1998-03-01
"2156",1998,"MARANHÃO",4,0,1998-04-01
"2157",1998,"MARANHÃO",5,0,1998-05-01
"2158",1998,"MARANHÃO",6,78,1998-06-01
"2159",1998,"MARANHÃO",7,274,1998-07-01
"2160",1998,"MARANHÃO",8,1176,1998-08-01
"2161",1998,"MARANHÃO",9,3935,1998-09-01
"2162",1998,"MARANHÃO",10,5137,1998-10-01
"2163",1998,"MARANHÃO",11,2237,1998-11-01
"2164",1998,"MARANHÃO",12,1399,1998-12-01
"2165",1999,"MARANHÃO",1,54,1999-01-01
"2166",1999,"MARANHÃO",2,6,1999-02-01
"2167",1999,"MARANHÃO",3,17,1999-03-01
"2168",1999,"MARANHÃO",4,4,1999-04-01
"2169",1999,"MARANHÃO",5,3,1999-05-01
"2170",1999,"MARANHÃO",6,32,1999-06-01
"2171",1999,"MARANHÃO",7,258,1999-07-01
"2172",1999,"MARANHÃO",8,895,1999-08-01
"2173",1999,"MARANHÃO",9,1739,1999-09-01
"2174",1999,"MARANHÃO",10,3208,1999-10-01
"2175",1999,"MARANHÃO",11,1494,1999-11-01
"2176",1999,"MARANHÃO",12,1001,1999-12-01
"2177",2000,"MARANHÃO",1,19,2000-01-01
"2178",2000,"MARANHÃO",2,11,2000-02-01
"2179",2000,"MARANHÃO",3,6,2000-03-01
"2180",2000,"MARANHÃO",4,6,2000-04-01
"2181",2000,"MARANHÃO",5,28,2000-05-01
"2182",2000,"MARANHÃO",6,94,2000-06-01
"2183",2000,"MARANHÃO",7,233,2000-07-01
"2184",2000,"MARANHÃO",8,839,2000-08-01
"2185",2000,"MARANHÃO",9,1365,2000-09-01
"2186",2000,"MARANHÃO",10,2654,2000-10-01
"2187",2000,"MARANHÃO",11,2267,2000-11-01
"2188",2000,"MARANHÃO",12,1461,2000-12-01
"2189",2001,"MARANHÃO",1,29,2001-01-01
"2190",2001,"MARANHÃO",2,1,2001-02-01
"2191",2001,"MARANHÃO",3,0,2001-03-01
"2192",2001,"MARANHÃO",4,2,2001-04-01
"2193",2001,"MARANHÃO",5,21,2001-05-01
"2194",2001,"MARANHÃO",6,100,2001-06-01
"2195",2001,"MARANHÃO",7,549,2001-07-01
"2196",2001,"MARANHÃO",8,2037,2001-08-01
"2197",2001,"MARANHÃO",9,4618,2001-09-01
"2198",2001,"MARANHÃO",10,6661,2001-10-01
"2199",2001,"MARANHÃO",11,3525,2001-11-01
"2200",2001,"MARANHÃO",12,1296,2001-12-01
"2201",2002,"MARANHÃO",1,48,2002-01-01
"2202",2002,"MARANHÃO",2,116,2002-02-01
"2203",2002,"MARANHÃO",3,16,2002-03-01
"2204",2002,"MARANHÃO",4,28,2002-04-01
"2205",2002,"MARANHÃO",5,71,2002-05-01
"2206",2002,"MARANHÃO",6,230,2002-06-01
"2207",2002,"MARANHÃO",7,1271,2002-07-01
"2208",2002,"MARANHÃO",8,3481,2002-08-01
"2209",2002,"MARANHÃO",9,3181,2002-09-01
"2210",2002,"MARANHÃO",10,5182,2002-10-01
"2211",2002,"MARANHÃO",11,5830,2002-11-01
"2212",2002,"MARANHÃO",12,2165,2002-12-01
"2213",2003,"MARANHÃO",1,436,2003-01-01
"2214",2003,"MARANHÃO",2,11,2003-02-01
